logFC AveExpr t P.Value adj.P.Val B qval corr.pvals corr.qvals
cg07194166 -0.139920460760276 0.734888542145247 -38.0919931186538 3.87662515019729e-91 3.36994264184072e-87 197.272122391961 2.06426455710284e-87 2.06077439395375e-64 1.65109517056189e-60
cg08656816 -0.150479076908407 0.517865692276194 -37.9700245398222 6.66024467833149e-91 5.67839653111699e-87 196.729032456117 3.47697493042086e-87 3.30057007499897e-64 2.59256971597797e-60
cg24498636 -0.163613852529777 0.645758075293604 -37.7943854024646 1.4553616272087e-90 1.21740176326407e-86 195.944605353892 7.45159302529878e-87 6.5134109886566e-64 5.01783990430245e-60
cg12404590 -0.0789757782524076 0.666436984712368 -37.6195006720656 3.17830621526934e-90 2.60940117424063e-86 195.160768022754 1.59661946210111e-86 1.28386965085552e-63 9.70413266652417e-60
cg23824762 -0.16437587930853 0.421647083864194 -37.5243909308672 4.86616282429376e-90 3.92249883426917e-86 194.733314083169 2.39924405848737e-86 1.85830614807712e-63 1.37859013345129e-59
cg03922381 -0.188053536654719 0.525589072223712 -37.3325598719001 1.15184259660466e-89 9.11893215114116e-86 193.868643031795 5.57586174808704e-86 3.92388464297697e-63 2.85801960611134e-59
cg18114313 -0.159496828807248 0.379765331092129 -37.2376266378351 1.76653234735175e-89 1.37399646305196e-85 193.439483613153 8.39875898201482e-86 5.68450632955491e-63 4.06645892060123e-59
cg27409514 -0.126631371319057 0.748859315102466 -37.2199091249391 1.91348102509216e-89 1.46263190452829e-85 193.359296975798 8.93780459410981e-86 6.09201410585022e-63 4.28151733378854e-59
cg09597022 -0.189688964325478 0.524714744613884 -37.1899214367385 2.19072770700978e-89 1.64617220861209e-85 193.223511398839 1.00563865534302e-85 6.84968241791832e-63 4.7310125986558e-59
cg11767757 -0.155621070751815 0.426787132878484 -36.9677017504886 5.98654169255108e-89 4.42347561176497e-85 192.214694408311 2.70150360275523e-85 1.63541598268757e-62 1.1104215667489e-58
cg19784816 -0.121832776656938 0.586258877037163 -36.9597091991181 6.20748514087811e-89 4.51153914315932e-85 192.178324918233 2.75452037717331e-85 1.68750546571854e-62 1.12669300956289e-58
cg12469001 -0.129250025354401 0.534667276899427 -36.9268042027828 7.20679877923414e-89 5.15334932965036e-85 192.028530570556 3.14553203521856e-85 1.92009367939066e-62 1.26096852127243e-58
cg23861127 -0.123522371266943 0.740370143033464 -36.8330801029508 1.10313691108635e-88 7.76296705452135e-85 191.60131399698 4.73717335801977e-85 2.77457800901769e-62 1.79273836388458e-58
cg13719712 -0.127206483940873 0.674895783543992 -36.7746960417424 1.43873789923829e-88 9.96645215193912e-85 191.334770526233 6.08026749108283e-85 3.490595492166e-62 2.21957914754739e-58
cg09030187 -0.149967874213523 0.786578335239901 -36.743301753876 1.659839278173e-88 1.13211763886735e-84 191.19131271077 6.90506251343812e-85 3.94954334259045e-62 2.47217136780921e-58
cg20901170 -0.213463540305621 0.795022672877833 -36.5485079816369 4.0381232377392e-88 2.71252974616026e-84 190.299122613975 1.65404668591386e-84 8.51073643843747e-62 5.24524099463904e-58
cg04706229 -0.0656356888180402 0.827153333003467 -36.526876650284 4.45812104739189e-88 2.94995865879524e-84 190.199826753629 1.79841316062982e-84 9.26939150860152e-62 5.62624904457906e-58
cg18369972 -0.10040258949119 0.212430908413906 -36.5219133613477 4.56052146511684e-88 2.97333927557034e-84 190.177037178318 1.81226312078149e-84 9.45282872194679e-62 5.65195438570093e-58
cg09948419 -0.130941301843546 0.303085910695092 -36.2736827916494 1.42418341533303e-87 9.15072932928374e-84 189.034278675771 5.57620283179442e-84 2.52343133083692e-61 1.48660038266567e-57
cg26947583 -0.218677456244376 0.717757502962517 -36.1578803953169 2.42743091768111e-87 1.53740296843797e-83 188.499164767509 9.36654318229759e-84 3.99443014201793e-61 2.31908892309874e-57
cg13860928 -0.117253187158598 0.785547335508002 -36.0177383036786 4.63600546907419e-87 2.89483934742294e-83 187.849864763336 1.76330504821732e-83 6.97095829220967e-61 3.98938643239611e-57
cg24449091 -0.073496600977381 0.507394951923125 -35.9790945164556 5.54333859366258e-87 3.41332613721049e-83 187.670490889623 2.07871336891792e-83 8.12952844681359e-61 4.58689362384156e-57
cg09680007 -0.185502261916787 0.754335306833848 -35.8739366144009 9.02249738006045e-87 5.47952333352159e-83 187.181649576637 3.33638238384003e-83 1.23582943817421e-60 6.87602903264293e-57
cg07268332 -0.148837624094777 0.654845101134721 -35.714247563572 1.89439275533206e-86 1.13381028355477e-82 186.437272347422 6.90100926494876e-83 2.33725970720787e-60 1.27884352400895e-56
cg02932854 -0.105699083757843 0.538882616731794 -35.7115788269962 1.91806260779732e-86 1.13381028355477e-82 186.424811293287 6.90100926494876e-83 2.36231314342494e-60 1.27884352400895e-56
cg03899643 -0.185990535870606 0.567334401626177 -35.5857308774858 3.44750697700919e-86 2.01108505026475e-82 185.83640834591 1.22384224891121e-82 3.90749431391757e-60 2.08712640893193e-56
cg25522867 -0.157835349277674 0.695203049848205 -35.5124126219242 4.85473498860965e-86 2.79520509002621e-82 185.492898294646 1.7007226142584e-82 5.24100336950509e-60 2.76256502157037e-56
cg04111344 -0.173387358009432 0.776010398023429 -35.5053733704654 5.01707125274401e-86 2.85163897863338e-82 185.45989049058 1.73476677208105e-82 5.3909378023782e-60 2.80469253165448e-56
cg00539174 -0.147528791033411 0.351414037943642 -35.3600059125126 9.90632391708473e-86 5.55935374436478e-82 184.777164738665 3.38142277157958e-82 9.65862843616046e-60 4.96058069237979e-56
cg11415156 -0.0632050508244716 0.515005677863721 -35.3504426683248 1.03605158933148e-85 5.74156479646749e-82 184.732177975666 3.49169130352459e-82 1.00367863020896e-59 5.08954839401688e-56
cg00320216 -0.207718534139661 0.660479246112146 -35.3292692149453 1.14419517746986e-85 6.25596041226498e-82 184.632543354762 3.80334306094943e-82 1.09277667642155e-59 5.45668076337138e-56
cg05476182 -0.107562636684274 0.514288382418272 -35.3268789505379 1.15709486988765e-85 6.25596041226498e-82 184.621292872297 3.80334306094943e-82 1.10332104857895e-59 5.45668076337138e-56
cg04211179 -0.230083772256308 0.511004210524948 -35.3171370554357 1.2111983063906e-85 6.46957927170867e-82 184.575433980156 3.93262878530905e-82 1.14736305053152e-59 5.60529752373283e-56
cg19930352 -0.150733541503107 0.551843567518615 -35.2799377363508 1.44223214124595e-85 7.61192954719359e-82 184.400236607209 4.62635152524981e-82 1.33239559673032e-59 6.43082599204651e-56
cg08619295 -0.165105460615847 0.642795791518153 -35.2316406818334 1.80951570765264e-85 9.43805073955454e-82 184.172569452634 5.73541202553418e-82 1.61803875639383e-59 7.71651661946098e-56
cg22941573 -0.120696881289905 0.277459646746542 -35.1867903913166 2.23432838430329e-85 1.15182745878348e-81 183.960944460582 6.99857511585879e-82 1.93810442613753e-59 9.13418723571612e-56
cg01129238 -0.177705437284209 0.516274788440405 -35.1030743739243 3.31379269383476e-85 1.688670667207e-81 183.565402044065 1.02590804642869e-81 2.71537401208426e-59 1.26486119218309e-55
cg16648887 -0.191492456886131 0.80350872081799 -34.9220423552301 7.7896180805001e-85 3.92439188527849e-81 182.70769013845 2.38384746981392e-81 5.63807121304985e-59 2.59610926109319e-55
cg16572224 -0.22012066989338 0.46308212567081 -34.8348468558883 1.1770786427516e-84 5.86346516443575e-81 182.293405811014 3.56126555288218e-81 8.02150606609554e-59 3.65161435882085e-55
cg18010131 -0.176027289944716 0.533785603967556 -34.8086593085107 1.33264864244397e-84 6.56465682709327e-81 182.168835418411 3.98664170637389e-81 8.91829248882678e-59 4.01424030322711e-55
cg10692140 -0.0867948920726673 0.203371385457783 -34.7202146853081 2.02772158228208e-84 9.87883672233077e-81 181.747611366242 5.99856494846692e-81 1.27601263014119e-58 5.67968337367478e-55
cg05056497 -0.111903660151468 0.603893300987843 -34.5569993403463 4.40859088937399e-84 2.12447119790961e-80 180.968231529018 1.28985222674907e-80 2.47438462721956e-58 1.08927485527743e-54
cg18497238 -0.121379153141659 0.394136016731636 -34.5437005164583 4.69713835110967e-84 2.23918140952437e-80 180.904609732759 1.35933680579024e-80 2.6117495167041e-58 1.13724846074735e-54
cg27280535 -0.156563597421755 0.753583507946644 -34.4758409549582 6.49303843573388e-84 3.03195036186281e-80 180.579691507006 1.84018087894774e-80 3.44137277191562e-58 1.46735772742631e-54
cg07533239 -0.107273153574019 0.634894460248704 -34.4757161288032 6.49690948245298e-84 3.03195036186281e-80 180.579093400053 1.84018087894774e-80 3.44312028554474e-58 1.46735772742631e-54
cg20899781 -0.097841872283051 0.767895695882454 -34.4314815843458 8.02556037860552e-84 3.66811132924921e-80 180.36704384882 2.24922712527294e-80 4.12199186740339e-58 1.73818175631686e-54
cg23598352 -0.262110989719324 0.698227217719858 -34.4227721135493 8.36669642369306e-84 3.78500808762544e-80 180.325269536401 2.32040786905387e-80 4.27072003763064e-58 1.78213882486218e-54
cg07573872 -0.122790596768645 0.598564580195838 -34.4004284624754 9.30998321449893e-84 4.1691985639216e-80 180.218064911764 2.55539896735201e-80 4.67737521710232e-58 1.93171093375152e-54
cg22828990 -0.112119058470337 0.714691439817723 -33.8279380784679 1.46273319908366e-82 6.35775550929556e-79 177.4539738654 3.97393348856172e-79 4.8573016726521e-57 1.98554924779736e-53
cg07005654 -0.0627517538380173 0.704623210046419 -33.8239345919694 1.49135632292106e-82 6.4192319894803e-79 177.434526397088 4.01077017248304e-79 4.9377819374274e-57 1.99805930317441e-53
cg09776041 -0.120817610298203 0.521634434943286 -33.7609876650978 2.02304224040136e-82 8.62403454753864e-79 177.128536672543 5.38624993722944e-79 6.39436692379652e-57 2.56158761911472e-53
cg21034324 -0.126491816157127 0.452746964711674 -33.7269555986528 2.3860133293663e-82 1.00744754425516e-78 176.962934407521 6.28974506411824e-79 7.35419603721814e-57 2.91692653149856e-53
cg26233651 -0.185565415481165 0.469264395324299 -33.7071447269138 2.62673492891271e-82 1.09862444986228e-78 176.866478450641 6.85642340318517e-79 7.97820990106378e-57 3.13340800334622e-53
cg02387843 -0.0916614429102921 0.708643874398213 -33.5273177497324 6.29696716666718e-82 2.609074782808e-78 175.989075734996 1.62770521673108e-78 1.67270672691073e-56 6.50570311828117e-53
cg17654419 -0.167851418546224 0.718815143201541 -33.5129997354854 6.75191617626582e-82 2.77167409390559e-78 175.919072136441 1.72852336305448e-78 1.77441050461653e-56 6.83490405578925e-53
cg10434728 -0.243036213011013 0.600038785106984 -33.504740592704 7.02921492095028e-82 2.85903321237058e-78 175.878681886537 1.78237496882438e-78 1.83587549533369e-56 7.00431369274589e-53
cg06639585 -0.0655683991283232 0.46935478039337 -33.3511887914766 1.48745957444688e-81 5.99503002413118e-78 175.126466225016 3.73612034963922e-78 3.46028012616131e-56 1.30772689366209e-52
cg03500164 -0.196333878154898 0.523651856722741 -33.295485152609 1.95345203571862e-81 7.80222821999606e-78 174.852979775434 4.86071911971799e-78 4.35628398146299e-56 1.63096284519785e-52
cg13610455 -0.120791721375256 0.510097092524128 -33.245480633945 2.49557410188882e-81 9.87850726321064e-78 174.607198201853 6.15216912448947e-78 5.35742244891449e-56 1.98721016352615e-52
cg07727594 -0.0968109076438615 0.293936257338316 -33.1055007769436 4.96058493641028e-81 1.94622623617523e-77 173.917779403046 1.21168001107431e-77 9.5671425778494e-56 3.51615013275698e-52
cg14475840 -0.171314990311647 0.407806816074997 -33.0000283531198 8.33551017151518e-81 3.24165065829814e-77 173.396955504197 2.01753488077044e-77 1.48202018454398e-55 5.39725696531428e-52
cg07462448 -0.186470976015582 0.666992618499088 -32.9926687935137 8.64328459591924e-81 3.33211398202089e-77 173.360570235315 2.07318179060992e-77 1.52801353851707e-55 5.51462373160079e-52
cg09365002 -0.178547041835101 0.667953504889076 -32.9756263352906 9.40053578423118e-81 3.59280373763157e-77 173.276291325848 2.23468408240368e-77 1.64009409667222e-55 5.86627482087821e-52
cg06516476 -0.0884154760720761 0.458088815110381 -32.940191364849 1.1195203392411e-80 4.24214005333185e-77 173.100959158947 2.63775889324575e-77 1.90024882702551e-55 6.73664546011214e-52
cg17602444 -0.130932624069683 0.482081392955779 -32.8340183842163 1.89117339277342e-80 7.1053948669403e-77 172.574821706712 4.41680320226181e-77 2.95519430245821e-55 1.03846736160192e-51
cg01905967 -0.230740209430637 0.544766683055938 -32.7890283632854 2.36250671020013e-80 8.80166764633232e-77 172.351515127084 5.46961504651916e-77 3.5639759145727e-55 1.24150531191928e-51
cg10331829 -0.136720771065221 0.802005110047979 -32.691430127267 3.83124918912425e-80 1.41546139833727e-76 171.866351458069 8.79354442477441e-77 5.35280390992996e-55 1.84856619554844e-51
cg07905975 -0.109954021508479 0.709897818848786 -32.6762237185144 4.13136969247768e-80 1.51372702661359e-76 171.790668870329 9.40133977237499e-77 5.70328976832953e-55 1.95277064404597e-51
cg09967973 -0.0743629541908931 0.873293043762362 -32.5741930702314 6.85705133561012e-80 2.49181873215743e-76 171.28222385808 1.54716611349068e-76 8.73148564643609e-55 2.96427027563586e-51
cg26174398 -0.138054770966913 0.442629959265829 -32.543297723834 7.9958071679799e-80 2.88201393615166e-76 171.128045535628 1.78894464184268e-76 9.93452386834705e-55 3.34435027955998e-51
cg19291696 -0.179614915174669 0.711189906550008 -32.5115880926851 9.36249784000895e-80 3.34741009466552e-76 170.969697695095 2.07726563143232e-76 1.13424869167382e-54 3.78650646761192e-51
cg09648424 -0.11838388616096 0.542797399282055 -32.3785771637019 1.81700606270055e-79 6.4444408147983e-76 170.304311652463 3.99808991851955e-76 1.97893454674867e-54 6.55175610214099e-51
cg08688659 -0.0968009891548379 0.229848820121639 -32.3404209124763 2.19844232244926e-79 7.73541123904205e-76 170.113085383131 4.79774096979804e-76 2.32196145002648e-54 7.62442043197767e-51
cg11151251 -0.137397868717003 0.778402758044826 -32.2623406025526 3.2484626881084e-79 1.1339999567491e-75 169.721285723306 7.03160267417442e-76 3.22130474008947e-54 1.04915187768728e-50
cg13620715 -0.130322909556509 0.708337110695646 -32.1943538103594 4.56617526068527e-79 1.58154474408026e-75 169.379600060693 9.80420633902352e-76 4.28502221878453e-54 1.3843409154015e-50
cg14714222 -0.125091577238124 0.392690407898392 -32.1374817276165 6.07320631788696e-79 2.08721506618964e-75 169.093391499923 1.29356892289151e-75 5.44131332896941e-54 1.74383497491712e-50
cg26846864 -0.149038873487441 0.586179452161191 -32.0569418562309 9.10102016309597e-79 3.10374190857484e-75 168.687477062419 1.92309652309356e-75 7.63429332406029e-54 2.42722456760949e-50
cg08035694 -0.207752802620446 0.632925583249116 -32.0423925137516 9.79168073617887e-79 3.31378879460993e-75 168.614074713141 2.05274533996904e-75 8.11620534148582e-54 2.56012380166998e-50
cg22904406 -0.113315191946009 0.484026145195608 -31.8625019652126 2.42355956320867e-78 8.07868980354931e-75 167.704618469856 5.04109961399902e-75 1.73172548845291e-53 5.41976856323189e-50
cg15745401 -0.209126893319521 0.616597140942961 -31.3901874443404 2.66164871578183e-77 8.80612436531455e-74 165.299968013428 5.49341713372197e-74 1.27772646925491e-52 3.96789200552926e-49
cg21164050 -0.204207644105661 0.560226324084289 -31.2962185235533 4.30000346776547e-77 1.41212750918969e-73 164.81862822241 8.80657432493015e-74 1.90449069463482e-52 5.86877101509747e-49
cg22044398 -0.0816454672539288 0.739466058165966 -31.2833668985595 4.59189784058358e-77 1.49689792091177e-73 164.752722104812 9.33259615078956e-74 2.01141954823497e-52 6.15096184306188e-49
cg10317717 -0.158868932632239 0.711880131727823 -31.2803083888023 4.66424723524991e-77 1.50938445092713e-73 164.737034664888 9.40782397240204e-74 2.03774204123357e-52 6.18424855717345e-49
cg03149958 -0.0773369445277176 0.717102385659222 -31.2195570891792 6.36402046709819e-77 2.04451997240888e-73 164.425219856462 1.27397667889673e-73 2.63848299977122e-52 7.94720326982441e-49
cg09790226 -0.119258081593469 0.61835903676232 -31.1967788621102 7.15114674611844e-77 2.28086597173931e-73 164.3082019218 1.42086377823407e-73 2.90702061753148e-52 8.69070434463362e-49
cg08455089 -0.193748177227685 0.712331766554256 -31.1746118216111 8.01096554626685e-77 2.53685534800931e-73 164.194268574272 1.57991108671274e-73 3.19466039628519e-52 9.47987457632539e-49
cg24710503 -0.125787364336557 0.536386803759412 -31.1727759192485 8.08667094046022e-77 2.54266728233015e-73 164.184830025641 1.58311481907825e-73 3.21972642364666e-52 9.48400393341483e-49
cg26500914 -0.116247833907757 0.528801357239076 -31.1564537276592 8.79212782322297e-77 2.74501375591783e-73 164.10089963944 1.70865734372424e-73 3.45143413590939e-52 1.00923123922326e-48
cg17413194 -0.191728398152409 0.681646065573813 -31.1365665628667 9.73574536049482e-77 3.01836700672203e-73 163.998597820112 1.8783290322849e-73 3.75647822793976e-52 1.09046932084732e-48
cg04212846 -0.190992275230676 0.720661566329564 -31.1292772998314 1.01065333329301e-76 3.10512220021187e-73 163.961090027526 1.93135157427386e-73 3.87493828134785e-52 1.11326197696525e-48
cg22701143 -0.162152811481553 0.749039726525309 -31.1283318818179 1.0155652273656e-76 3.10512220021187e-73 163.956224831292 1.93135157427386e-73 3.89057462406142e-52 1.11326197696525e-48
cg19323059 -0.14962760054862 0.453480770375062 -30.9887284573357 2.08018394929048e-76 6.31666378387904e-73 163.236723121384 3.92793398001195e-73 7.0552317339126e-52 2.00448971571961e-48
cg23538064 -0.076498449431273 0.83481002115876 -30.9507622212621 2.52900969202993e-76 7.62732118968663e-73 163.04067343955 4.74180511267684e-73 8.29648717057646e-52 2.34054806204143e-48
cg00934987 -0.0743782146945045 0.343792970603829 -30.9470544194963 2.57774885305791e-76 7.7217860271108e-73 163.021518505821 4.79939081564059e-73 8.42887807087196e-52 2.36126862260479e-48
cg14046334 -0.23767231219549 0.685426451480832 -30.9041463718477 3.215327377637e-76 9.56704476682111e-73 162.79973885214 5.94489594684413e-73 1.01241911732539e-51 2.81649838921816e-48
cg05620710 -0.194684520053138 0.657146130379083 -30.8517236805484 4.21322787026306e-76 1.24526724697211e-72 162.52850133067 7.7362144031826e-73 1.26666206253823e-51 3.49948731078771e-48
cg25509467 -0.0912630999651798 0.215046320746467 -30.8237716347516 4.86701002835097e-76 1.42897348343654e-72 162.383750384141 8.87546133886626e-73 1.42747749532823e-51 3.91677006033178e-48
cg16745930 -0.0813178774915398 0.704756883966968 -30.8102451505412 5.21905627589303e-76 1.52225450491248e-72 162.313671444811 9.45270699466468e-73 1.51250057965977e-51 4.12182811312028e-48
cg03505817 -0.161526984686648 0.539493072003035 -30.7826705671539 6.01794995201874e-76 1.74379736446268e-72 162.17074763406 1.08260095906285e-72 1.70188754780745e-51 4.60660322523871e-48
