cpg beta p p.adj imprinted chr start end base.med
cg24444631 0.037601598308824 1.1747878071095e-14 1.05721765401355e-10 0 chr6 29636365 29636415 0.758759379515463
cg01558785 0.00895561229715772 6.7909006981505e-07 0.00250007009202411 0 chr6 29638113 29638163 0.818269016491529
cg11358777 0.00930509113236521 9.91488908411679e-07 0.00352209040170996 0 chr6 29638449 29638499 0.868393932668265
cg06061002 0.0505567388731095 3.55465340961182e-32 4.9638283380119e-28 0 chr6 29638869 29638919 0.639687413552479
cg12833048 0.0251773901713609 1.3661534717457e-15 1.31724843020356e-11 0 chr6 29639533 29639583 0.717333911689345
cg00539542 -0.0237352798124571 7.26023487047429e-25 8.90951822521703e-21 0 chr6 29644543 29644593 0.846337247350013
cg12463578 -0.158314579929949 3.21121401171307e-65 1.30042928225339e-60 0 chr6 29644707 29644757 0.430300403796571
cg10174063 -0.0548993414563756 9.19276945196228e-46 1.55114578379746e-41 0 chr6 29645037 29645087 0.161475786139936
cg26021304 0.331535780824551 4.94204591312934e-109 2.00135562321042e-103 0 chr6 29645068 29645118 0.177324547333157
cg25978138 -0.132476436248392 4.24614826410279e-53 8.59770715886193e-49 0 chr6 29648160 29648210 0.853899483346424
cg15708526 -0.198794361694442 2.26335913250893e-66 1.83316246219296e-61 0 chr6 29648222 29648272 0.72532494494133
cg11747594 -0.26517841787804 1.59650357525402e-65 7.18364522614158e-61 0 chr6 29648224 29648274 0.678874977108687
cg04071440 -0.194764137152957 7.74214598049967e-64 2.85027104272095e-59 0 chr6 29648274 29648324 0.741437557097035
cg08022281 -0.200015362722552 3.90796664538875e-60 1.1304212232499e-55 1 chr6 29648344 29648394 0.595097748710129
cg10648573 -0.197239966839016 4.44608247947236e-66 2.78779195749472e-61 1 chr6 29648347 29648397 0.726947160172956
cg12644888 -0.14060018283629 6.61003135053329e-54 1.48712852548262e-49 1 chr6 29648359 29648409 0.649525604828782
cg22494932 -0.234779208998756 2.32986570406001e-67 3.14504688281555e-62 1 chr6 29648378 29648428 0.85455690252989
cg25699073 -0.17635249280769 3.31919265790709e-59 8.96104569806229e-55 1 chr6 29648380 29648430 0.788194729254816
cg07134666 -0.359252044352071 7.43535889427727e-66 3.76382514327624e-61 1 chr6 29648399 29648449 0.709746214626549
cg00588198 -0.221479892456411 3.52462721916253e-53 7.51237190425344e-49 1 chr6 29648451 29648501 0.576229852160544
cg06032337 -0.23563190676938 8.87421566975385e-11 6.65508657167012e-07 1 chr6 29648467 29648517 0.491597370000151
cg16885113 -0.271434453689558 1.07425882481393e-63 3.62531020825643e-59 1 chr6 29648506 29648556 0.748056778689185
cg20228636 -0.280740957883445 2.85551308471995e-62 8.89525274118166e-58 1 chr6 29648524 29648574 0.652593981499513
cg11383134 -0.30712973303156 4.81882229389282e-66 2.78779195749472e-61 1 chr6 29648589 29648639 0.779083726856479
cg03198009 -0.283573811752909 9.74407662262133e-57 2.46625624342491e-52 1 chr6 29648603 29648653 0.606437189416698
cg03449857 -0.279526111433363 2.661239153964e-69 5.38854356992515e-64 1 chr6 29648622 29648672 0.666541148148297
cg15570656 -0.301517467358269 3.86810136139375e-67 3.91611416954205e-62 1 chr6 29648627 29648677 0.636161797646245
cg13835168 -0.266443310521706 1.24447711931625e-49 2.19117250706045e-45 1 chr6 29648755 29648805 0.516768256599869
cg08041448 -0.263493725746052 8.85840981118455e-41 1.37974843430244e-36 1 chr6 29648852 29648902 0.487756005580565
cg24100841 -0.267559995493183 5.91030737279574e-56 1.40792213248484e-51 1 chr6 29649023 29649073 0.601973564888846
cg19636627 -0.278626523340743 9.26029387657571e-53 1.78575948082261e-48 1 chr6 29649083 29649133 0.68869093885846
cg05863862 0.0183333088602723 1.7648513566205e-11 1.34849628232797e-07 0 chr6 29649758 29649808 0.859551932616961
cg06458771 -0.28234021128454 7.51404846852725e-51 1.38314847184415e-46 0 chr6 29662990 29663040 0.720362941476101
cg16655343 0.11842459683137 1.45759181079176e-05 0.0409912269206448 0 chr6 29701514 29701564 0.422808129043267
cg24177217 -0.0232769422236847 1.5533780135694e-07 0.000683764920940362 0 chr6 29702004 29702054 0.74885492222832
cg15180617 0.0102863977194788 3.14294866069906e-07 0.00124782765135294 0 chr6 29705435 29705485 0.879997823880589
cg27230769 -0.183907395482525 5.16282159883779e-07 0.00195398322315266 0 chr6 29705999 29706049 0.511166699023804
cg03432955 -0.0489113217736601 1.2434680641237e-11 9.68386624207415e-08 0 chr6 29795500 29795550 0.429766562480618
cg00126638 -0.0400141916708983 2.30603764413608e-09 1.41494626448117e-05 0 chr6 29795534 29795584 0.32981287133056
cg03521696 -0.0235641785495938 1.91647211267161e-09 1.19400635247394e-05 0 chr6 29795594 29795644 0.127611397383354
cg15411272 0.218304522155649 4.44708677274373e-34 6.43183748187201e-30 0 chr6 29895138 29895188 0.385030110796876
cg26502127 -0.0117869293586278 9.87373575097689e-06 0.0300640405894312 0 chr6 29943055 29943105 0.106540998421842
cg16690356 -0.146842338050946 3.79804627605988e-15 3.49562684132861e-11 0 chr6 29945899 29945949 0.811281169289906
cg04983903 -0.0215960685418748 2.62145802004185e-08 0.000137869967154058 0 chr6 29974016 29974066 0.323058011975675
cg13207333 0.0099130169430452 4.97034867419122e-09 2.87545321549121e-05 0 chr6 29974749 29974799 0.141150739184341
cg11867546 0.0112779270609286 1.55186776246377e-07 0.000683764920940362 0 chr6 29974761 29974811 0.0708636805635325
cg12976581 0.011386115108356 7.2131077250423e-08 0.000339657694171134 0 chr6 29974983 29975033 0.083752657123142
cg24694606 -0.0484845469617899 3.93511036771311e-29 5.14058700019658e-25 0 chr6 29977907 29977957 0.84163758105022
cg13919341 0.0178082732555156 2.57006574838273e-07 0.00106202722019777 0 chr6 30029928 30029978 0.679852706281592
cg03228974 -0.0409629730546532 7.51646869954772e-08 0.000349874338725557 0 chr6 30067854 30067904 0.326436661901854
cg04906656 0.00746802691936585 1.90868766626162e-06 0.00633566967842326 0 chr6 30069680 30069730 0.0785501921643225
cg14747086 -0.027189483638374 1.51657403357575e-07 0.000682399337230003 0 chr6 30070086 30070136 0.143632658619719
cg19178742 -0.0302891260872723 1.31425020079143e-09 8.58427955747583e-06 0 chr6 30070098 30070148 0.172287338869304
cg23003315 -0.0255873404203094 2.03784174399472e-10 1.42285272733935e-06 0 chr6 30070108 30070158 0.135556600982637
cg23642250 0.0111420897607877 1.07674734325833e-05 0.0318552268957843 0 chr6 30071393 30071443 0.104664638737316
cg22377040 0.0106702360133971 1.68546790357696e-07 0.000718479483760045 0 chr6 30071411 30071461 0.081025791844958
cg13196879 0.0248389658424517 2.90942606618047e-12 2.40452189161382e-08 0 chr6 30071426 30071476 0.133145878284043
cg19382642 0.0101334819997973 1.79083037791814e-06 0.00599358366936875 0 chr6 30071447 30071497 0.116154105699286
cg00354641 0.0285499499683914 1.25794957891561e-08 6.88412907061566e-05 0 chr6 30071454 30071504 0.188480030293417
cg27123071 0.0190542210838463 3.80135182953565e-10 2.56569073941317e-06 0 chr6 30071523 30071573 0.129397963823359
cg13436843 0.0454589700746385 1.19368018602078e-10 8.78906720967102e-07 0 chr6 30071600 30071650 0.180152508309766
cg09735274 0.0405119599935463 1.34896177157327e-10 9.75504113973515e-07 0 chr6 30071611 30071661 0.158766671921071
cg03403996 -0.15836316390178 9.47869301856941e-07 0.003427266891308 0 chr6 30074113 30074163 0.810729654242805
cg11100081 -0.064887651780051 9.80501111969254e-07 0.00351388170627105 0 chr6 30079306 30079356 0.461868646817438
cg06657028 -0.0992497726539237 1.58549925435307e-09 1.00323703990483e-05 0 chr6 30080446 30080496 0.616214048649942
cg08116408 0.0215153652818541 6.08978840501293e-08 0.000290135430757184 0 chr6 30112727 30112777 0.440829458106279
cg05074385 -0.164227123581064 4.25273860266247e-12 3.44442057645441e-08 0 chr6 30137159 30137209 0.852801753422066
cg24064041 0.0242374594555382 2.00224397459675e-07 0.000844623678304762 0 chr6 30164978 30165028 0.568381500665736
cg18200389 0.0241581434718903 5.37749453715913e-07 0.00201638618077838 0 chr6 30170339 30170389 0.675793606923661
cg10985055 -0.147327935702971 1.6469911766162e-05 0.0448373776119828 0 chr6 30174130 30174180 0.809776004467748
cg20802826 -0.0519725289859398 6.57269094395034e-10 4.36345866904402e-06 0 chr6 30782031 30782081 0.623097422139262
cg07979747 -0.0196739551053541 1.04431533626631e-05 0.0313267526037843 0 chr6 30860087 30860137 0.841905353950689
cg15848685 0.0639856778577657 9.4656006375615e-06 0.0290396739559856 0 chr6 30882640 30882690 0.372698868814008
cg15992932 -0.0459035410277381 5.87658773625512e-08 0.000283310994358637 0 chr6 30899404 30899454 0.493137132211948
cg26672776 -0.0840294666390722 3.23187151466569e-08 0.000163599355992074 0 chr6 30899519 30899569 0.634858330364919
cg13561028 -0.0851125018355755 9.72609631406398e-09 5.47045638031239e-05 0 chr6 30899600 30899650 0.525466618620404
cg15063443 0.0171248187072571 1.74830260704035e-06 0.00590001137716746 0 chr6 30900511 30900561 0.768393104742651
cg04559908 -0.154900508094389 5.09411984611332e-12 4.04498086957114e-08 0 chr6 30920074 30920124 0.742829019160111
cg16519217 0.0224684753430807 1.64971522580604e-05 0.0448373776119828 0 chr6 31038712 31038762 0.629872079812641
cg07613268 -0.0245960347870743 2.92995121314059e-07 0.00117477989408859 0 chr6 31110424 31110474 0.675428512440001
cg03081173 -0.030226448787979 3.96724593813003e-08 0.000195926311138394 0 chr6 31166501 31166551 0.827198752010644
cg13212186 -0.0267226258069935 3.40672503045785e-08 0.000170321531106094 0 chr6 31166503 31166553 0.766863255785408
cg13502540 -0.0387299200579632 3.16818989879327e-08 0.000162405825615799 0 chr6 31166511 31166561 0.65601785729964
cg23634079 -0.137155571194141 1.42718368091755e-09 9.17395935464723e-06 0 chr6 31712146 31712196 0.83662367508948
cg24009529 0.00823723492605934 5.14694010722249e-07 0.00195398322315266 0 chr6 32122469 32122519 0.0166164350795996
cg05525649 0.0170901956737853 6.47650239484136e-06 0.0203314480025344 0 chr6 32156268 32156318 0.571567849661264
cg08293075 0.0127951817076325 1.42366982466917e-05 0.0408891099678831 0 chr6 32156293 32156343 0.54964242479694
cg06431527 -0.0215786461192644 1.44393608582659e-05 0.0409912269206448 0 chr6 32158512 32158562 0.322669398514995
cg03280235 -0.0136189041195881 1.05508604725476e-06 0.00371541670544805 0 chr6 32158904 32158954 0.716999682293974
cg21386484 -0.0271531775023548 4.00831951642635e-06 0.013090557362658 0 chr6 32159478 32159528 0.436287310691173
cg19555708 -0.0178858891860136 4.23549322314137e-07 0.00164925626260523 0 chr6 32159603 32159653 0.556949964545542
cg06194738 -0.0270063529507124 2.59147587586561e-10 1.77874072554223e-06 0 chr6 32159606 32159656 0.587115840750545
cg19321684 -0.0370360739276527 1.31473099842232e-08 7.09893385034795e-05 0 chr6 32159884 32159934 0.383513901531778
cg00442389 -0.015803676644762 4.72075532917509e-06 0.0151725450942809 0 chr6 32160025 32160075 0.157149746722855
cg00366603 -0.156789680161117 4.28615585771982e-06 0.0138859448553721 0 chr6 32186000 32186050 0.50329897076777
cg21241195 -0.148541221386453 1.57761417667853e-07 0.000686966155977014 0 chr6 32289308 32289358 0.889741733103395
cg13966843 -0.165997401344701 1.16034536506359e-08 6.43697617483531e-05 0 chr6 32336111 32336161 0.874531726095181
cg12771187 0.0170572003500077 2.06368384249027e-07 0.000861566729148529 0 chr7 116152009 116152059 0.809249645569023
cg03724238 0.0167472779154189 3.66157580960421e-06 0.0120553662417591 0 chr9 21696665 21696715 0.68284945935524
cg06606381 -0.0918926068940491 2.48803110332186e-17 2.58350132245317e-13 0 chr12 133084896 133084946 0.875985654398055
cg08083251 -0.0790410731693272 5.75846858124926e-06 0.0182185799141063 0 chr13 23309881 23309931 0.545718633194051
cg26800551 -0.0154614245565784 1.29469034600514e-05 0.037993063476085 0 chr15 25459374 25459424 0.821016818158311
cg01255021 0.0669062020789444 7.32468943615369e-17 7.41560714377995e-13 0 chr16 1094604 1094654 0.721556099814832
cg00624589 0.0265007836745069 3.39176790164899e-09 1.99064824390041e-05 0 chr16 1094741 1094791 0.927313027432253
cg06099246 0.0494994802980442 3.31705083541626e-13 2.85806274800924e-09 0 chr16 1094812 1094862 0.650951379079445
cg25791868 -0.00834408521276117 6.76155044511297e-06 0.0210630098154244 0 chr17 76264163 76264213 0.820501175511836
cg02839351 -0.00996815027683975 1.31760952748239e-05 0.038113267306922 0 chr19 4475008 4475058 0.62073339867752
cg02753903 0.104886083871977 8.50150927409541e-23 9.81877123816662e-19 0 chr19 38943524 38943574 0.622046370258524
cg24377285 0.0993871680136777 8.7285509753682e-23 9.81877123816662e-19 0 chr19 38943675 38943725 0.492152831202796
cg22379212 0.0572733945681405 5.79232050528825e-14 5.0993197248349e-10 0 chr19 38943999 38944049 0.811550759996603
cg01017090 0.017806121922921 1.33888966530336e-06 0.00463421754965449 1 chr20 57426997 57427047 0.431202521766658
cg25652859 0.0266796941514834 1.07766500431456e-05 0.0318552268957843 1 chr20 57427363 57427413 0.334682948041805
cg12321149 0.028682132082107 8.87141463502862e-07 0.00323658777267961 1 chr20 57427377 57427427 0.357655398811651
cg06065549 0.0229662867619643 1.84944182059135e-05 0.049599947475217 1 chr20 57427394 57427444 0.412222845525881
cg07105596 0.0408297250348931 1.6966001533951e-06 0.00577364437915669 1 chr20 57427471 57427521 0.34110332905536
cg26534489 0.0224665421626137 1.5649949525784e-05 0.0434087795185557 1 chr20 57427494 57427544 0.407254441244216
cg14564778 0.049665586943196 3.163221258635e-08 0.000162405825615799 1 chr20 57427507 57427557 0.381612286364438
cg01817393 0.0578924503587958 3.03780077524721e-09 1.80912204551175e-05 1 chr20 57427593 57427643 0.344021520229893
cg04257105 0.0383743223418334 2.77225195976184e-07 0.00113400506554036 1 chr20 57427664 57427714 0.384223133928461
cg20528838 0.0305006634911469 1.18273570546413e-06 0.00412902211175241 1 chr20 57427729 57427779 0.25275953416192
cg27661264 0.0313134689814977 4.51809630537998e-08 0.000220442273531109 1 chr20 57427737 57427787 0.318696214264208
cg19589727 0.0329938810444249 2.50981358600898e-08 0.000133735086691859 1 chr20 57427761 57427811 0.334399242365955
cg10302550 0.0366598273796125 4.58559084710351e-07 0.00176857504514026 1 chr20 57427820 57427870 0.419450590470846
cg17414107 0.0414981850301013 1.23147106027892e-07 0.000560340087557139 1 chr20 57427829 57427879 0.444759675045964
cg00943909 0.0345446409426286 1.22757504593649e-07 0.000560340087557139 1 chr20 57427941 57427991 0.421522031624677
cg19640589 0.0428486615648594 1.67568012136542e-07 0.000718479483760045 1 chr20 57427972 57428022 0.468110808975927
